source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 434 liver	Mus musculus	liver	not available	1	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 434	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_434_D4	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_434_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 436 liver	Mus musculus	liver	not available	1	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 436	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_436_B11	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_436_B11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 438 liver	Mus musculus	liver	not available	1	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 438	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_438_C3	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_438_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 440 liver	Mus musculus	liver	not available	2	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 440	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_440_A3	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_440_A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 444 liver	Mus musculus	liver	not available	1	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 444	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_444_A8	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_444_A8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 446 liver	Mus musculus	liver	not available	2	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 446	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_446_A11	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_446_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 448 liver	Mus musculus	liver	not available	2	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 448	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_448_B8	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_448_B8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 450 liver	Mus musculus	liver	not available	3	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 450	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_450_B7	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_450_B7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 452 liver	Mus musculus	liver	not available	3	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 452	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_452_C11	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_452_C11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 454 liver	Mus musculus	liver	not available	4	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 454	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_454_C2	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_454_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 456 liver	Mus musculus	liver	not available	5	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 456	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_456_A10	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_456_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 460 liver	Mus musculus	liver	not available	4	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 460	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_460_B4	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_460_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 462 liver	Mus musculus	liver	not available	4	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 462	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_462_C10	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_462_C10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 464 liver	Mus musculus	liver	not available	5	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 464	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_464_C5	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_464_C5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 466 liver	Mus musculus	liver	not available	5	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 466	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_466_C1	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_466_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 468 liver	Mus musculus	liver	not available	2	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 468	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_468_A4	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_468_A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 470 liver	Mus musculus	liver	not available	3	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 470	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_470_B6	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_470_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 472 liver	Mus musculus	liver	not available	4	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 472	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_472_A12	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_472_A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 474 liver	Mus musculus	liver	not available	5	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 474	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_474_B3	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_474_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 476 liver	Mus musculus	liver	not available	3	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 476	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_476_A5	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_476_A5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 478 liver	Mus musculus	liver	not available	1	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 478	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_478_C4	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_478_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 480 liver	Mus musculus	liver	not available	2	normal	12 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 480	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_480_D2	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_480_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	12 day	not applicable
mouse 484 liver	Mus musculus	liver	not available	5	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 484	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_484_C8	proteomic profiling by mass spectrometry	1	20190425_QE9_nLC0_NAMPT_LiNi_SA_liver_484_C8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 liver (PD time course)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
