source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[genotype]	characteristics[sampling time]	characteristics[duration]	characteristics[material type]	characteristics[sample type]	characteristics[cell fraction]	characteristics[enrichment process]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[sample preparation batch]	comment[acquisition date]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]	factor value[genotype]	factor value[cell fraction]	factor value[duration]
PXD001364_AgWTD12-4_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	AggregatesSILAC	2011-09-27	1	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD12-4	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	12 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	4	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	AggregatesSILAC	2011-09-27	1	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD12-4_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	AggregatesSILAC	2011-09-27	1	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD12-4	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	12 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	4	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	5	AggregatesSILAC	2011-09-27	1	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD12-4_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	5	AggregatesSILAC	2011-09-27	1	20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D124-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD17	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	17 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	17 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD17_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD17	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	17 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	2	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	17 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD17_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	2	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD17	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	17 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	17 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD17_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD17	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	17 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	17 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD17_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgWTD17	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	N2	wild type	17 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	5	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	17 day	wild type	insoluble fraction	not applicable
PXD001364_AgWTD17_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	5	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgDAF16D01	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	daf-16(mu86)	1 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	1 day	daf-16(mu86)	insoluble fraction	not applicable
PXD001364_AgDAF16D01_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	1	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgDAF16D01	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	daf-16(mu86)	1 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	2	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	1 day	daf-16(mu86)	insoluble fraction	not applicable
PXD001364_AgDAF16D01_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	2	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgDAF16D01	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	daf-16(mu86)	1 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	1 day	daf-16(mu86)	insoluble fraction	not applicable
PXD001364_AgDAF16D01_heavy	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	not available	not applicable	not applicable	whole organism	reference	insoluble fraction	sample enrichment	pooled	pooled	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	3	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	not available	insoluble fraction	not applicable
PXD001364_AgDAF16D01	Caenorhabditis elegans	multicellular organism	not applicable	normal	adult	not available	daf-16(mu86)	1 day	not applicable	whole organism	study sample	insoluble fraction	sample enrichment	not pooled	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	40 NCE	orbitrap	300m/z-1600m/z	not available	20 ppm	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	4	AggregatesSILAC	2011-09-21	1	20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	1 day	daf-16(mu86)	insoluble fraction	not applicable
