source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[elution conditions]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[treatment]
T4.EMRA_aCD3.aCD28.IL2_cellular_02	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	2	T4.EMRA_02activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_02activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_cellular_03	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	3	T4.EMRA_03activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_03activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_cellular_04	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	4	T4.EMRA_04activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_04activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_cellular_05	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	5	Library_single.shot_1activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_1activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_secretome_01	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_secretome_02	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	2	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_02	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_aCD3.aCD28.IL2_secretome_03	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	3	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_03	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EMRA_steady-state_cellular_01	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	1	T4.EMRA_01steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_01steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_steady-state_cellular_02	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	2	T4.EMRA_02steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_02steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_steady-state_cellular_03	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	3	T4.EMRA_03steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_03steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_steady-state_cellular_04	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	4	T4.EMRA_04steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EMRA_04steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_steady-state_cellular_05	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	5	Library_single.shot_12steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_12steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_unstim_secretome_01	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	untreated	not available	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_unstim_secretome_02	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	untreated	not available	2	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_02	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EMRA_unstim_secretome_03	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	normal	not applicable	adult	not available	not available	not available	not available	untreated	not available	3	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_03	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	120 min gradient	1	1	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	untreated
T4.EM_aCD3.aCD28.IL2_cellular_01	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	1	T4.EM_01activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EM_01activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EM_aCD3.aCD28.IL2_cellular_02	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	2	T4.EM_02activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EM_02activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EM_aCD3.aCD28.IL2_cellular_03	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	3	T4.EM_03activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EM_03activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EM_aCD3.aCD28.IL2_cellular_04	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell	normal	cell	adult	not available	not available	not available	not available	anti-CD3 and anti-CD28 antibody with interleukin-2	96 hour	4	T4.EM_04activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EM_04activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell	anti-CD3 and anti-CD28 antibody with interleukin-2
T4.EM_steady-state_cellular_01	Homo sapiens	blood	effector memory CD4-positive, alpha-beta T cell	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	1	T4.EM_01steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	T4.EM_01steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	effector memory CD4-positive, alpha-beta T cell	untreated
